specimen_ID,scientific_name,sp_code,maximum_height,total_dry,total_wet,total_dmc,total_volume,mass_to_height,thickness_mm_mean,sav_scaled,frond_area_scaled,sta_scaled,sap_mean,frond_peri_scaled
20210721-BULL-014,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,27.3,1050,6160,0.17045454545454544,8,38.46153846153846,0.31,16299.778,100406632.48,16299.778,20.606129332402887,4872658.56
20210721-BULL-015,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,59,5440,39090,0.1391660271169097,42,92.20338983050847,0.454,78965.586,3086764756.74,78965.586,45.65292242442883,67613738.46
20210721-BULL-019,Cryptopleura ruprechtiana,BF,26,1110,9210,0.12052117263843648,9,42.69230769230769,0.223,35612.603,327992073.63000005,35612.603,6.430166794026785,51008330.598
20210721-BULL-020,Cryptopleura ruprechtiana,BF,35.4,2480,21770,0.11391823610473129,21,70.05649717514125,0.266,71201.526,1550057221.02,71201.526,7.413010704366264,209099552.50800002
20210721-BULL-024,Cryptopleura ruprechtiana,BF,42.5,8500,65480,0.12981062919975564,72,200,0.247,287499.32100000005,18825455539.08,287499.32100000005,7.2269558992915615,2604894204.6160007
20210721-BULL-025,Cryptopleura ruprechtiana,BF,32.2,1050,8660,0.12124711316397228,11,32.60869565217391,0.226,35441.296,306921623.36,35441.296,7.143096177910123,42967589.364
20210721-BULL-026,Cryptopleura ruprechtiana,BF,38.3,2370,18370,0.12901469787697334,21,61.879895561357706,0.249,76320.054,1401999391.98,76320.054,7.35590616970025,190595061.932
20210721-BULL-027,Cryptopleura ruprechtiana,BF,21.6,430,3370,0.12759643916913946,5,19.907407407407405,0.215,14756.982,49731029.34,14756.982,7.032629783559439,7071469.83
20210721-BULL-028,Cryptopleura ruprechtiana,BF,22,600,4880,0.12295081967213115,6,27.272727272727273,0.212,19648.819,95886236.72,19648.818999999996,7.997311683533258,11989808.639999999
20210721-BULL-029,Cryptopleura ruprechtiana,BF,34.4,950,7950,0.11949685534591195,10,27.616279069767444,0.215,36218.823,287939642.84999996,36218.823,7.477770973743954,38506079.39999999
20210722-AQUE-004,Pterygophora californica,PTCA,52.3,2800,20520,0.1364522417153996,24,53.53728489483748,0.375,47777.974,162187966.44000003,64829.484664265816,11.431991634867705,13649176.224
20210722-AQUE-005,Pterygophora californica,PTCA,53.9,3030,21570,0.1404728789986092,26,56.2152133580705,0.36733333333333335,40245.72757373738,224407154.71,52185.676492401224,48.37840306306753,11471292.69
20220405-MOHK-001,Pterygophora californica,PTCA,155.7,14787,145883,0.10136205041026028,114,94.97109826589596,0.4667142857142857,245374.8244239796,4539395566.259285,282845.33784807863,15.164597977898262,287276742.441
20220405-MOHK-002,Pterygophora californica,PTCA,108.4,6300,62437,0.10090170892259398,53,58.11808118081181,0.338,137555.807884127,2389621664.2373333,161846.35314811877,19.563092131600595,130083755.7674
