specimen_ID,scientific_name,sp_code,date_collected,year,site,maximum_height,thickness_mm_mean,frond_area_scaled,height_ww,total_dmc,height_vol,sav_scaled,sta_scaled,sap_mean
20220407-AQUE-006,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,149.4,0.38316326530612244,3520441160.16,0.0011629807804581864,0.13631162280189627,0.8840236686390532,356828.42453129037,408094.99840145296,19.378763635893584
20220407-AQUE-007,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,88.7,0.39876106194690264,1500120176.7692308,9.483385365436428e-4,0.13960997305734935,0.8367924528301887,221910.79730103232,265419.44156539545,16.343325297359137
20220407-AQUE-008,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,116.7,0.38487394957983195,3906889378.228572,7.497012758412458e-4,0.14032326450900026,0.6483333333333333,354346.30035278935,463677.12221344915,18.43560208531672
20220407-AQUE-009,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,84.7,0.37333333333333335,1713912834.1333334,0.0012388836882752164,0.12970980575707933,1.045679012345679,167329.9617857143,203635.26299758538,22.08201950209596
20220407-AQUE-010,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,48.3,0.2726530612244898,85903910.4,0.00403744880046811,0.15038033937975423,3.01875,55435.41333333333,59961.39872868013,12.760282832859735
20220407-AQUE-011,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,46.7,0.31148936170212765,178401156,0.0026199158485273495,0.13868162692847125,2.122727272727273,62661.94,80184.28371078419,17.527394935256144
20220407-AQUE-012,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,75.1,0.3525,790686917.1428571,0.0016208050070141361,0.15308082443077586,1.3410714285714285,129826.08744588746,166343.4763127778,17.673694477976564
20220421-AQUE-003,Stephanocystis osmundacea,CYOS,2022-04-21,2022,Arroyo Quemado,84,0.3605,391742133.1934,0.001858777190148481,0.15786329136332455,1.4,97577.25114285715,110173.73675508006,3.2697301086704966
20220421-AQUE-004,Stephanocystis osmundacea,CYOS,2022-04-21,2022,Arroyo Quemado,86,0.37076086956521737,1093393535.5,5.41595818376472e-4,0.13138736696265507,0.44329896907216493,345706.81444444443,332533.11050096713,2.6303785967874758
20220428-AQUE-001,Pterygophora californica,PTCA,2022-04-28,2022,Arroyo Quemado,121.3,0.4495454545454545,2777443471.7636366,9.888963167077008e-4,0.08363633399096705,1.2505154639175258,290306.5948970474,377027.9048544557,18.713742006564175
20220503-AQUE-001,Stephanocystis osmundacea,CYOS,2022-05-03,2022,Arroyo Quemado,33.3,0.4205263157894737,221967701.55833334,6.260104523066511e-4,0.1314809940970786,0.5549999999999999,100148.83499999999,98214.00290803018,3.9370542827232717
20220503-AQUE-002,Stephanocystis osmundacea,CYOS,2022-05-03,2022,Arroyo Quemado,49.3,0.3575,865013040.1248751,4.972113803919196e-4,0.11645638558591268,0.4833333333333333,162113.20158125,185889.6949778815,2.9608674190847815
20220503-AQUE-003,Stephanocystis osmundacea,CYOS,2022-05-03,2022,Arroyo Quemado,37.3,0.44228070175438594,180261661.16616666,0.0013806122071288447,0.1313987489358552,1.2433333333333332,49396.03386904762,43014.66122560022,5.056067496373052
20220503-AQUE-004,Stephanocystis osmundacea,CYOS,2022-05-03,2022,Arroyo Quemado,31.2,0.3705,392836893.1055,5.640219100818916e-4,0.13315978813023122,0.48,115803.17873015873,114308.86909049268,4.583966523003322
20220503-AQUE-005,Stephanocystis osmundacea,CYOS,2022-05-03,2022,Arroyo Quemado,31.8,0.33666666666666667,77346368.79666667,0.0011845781337306762,0.14315514993481096,0.9352941176470588,54236.16533333334,60171.222478722964,3.745964823279238
20220503-AQUE-006,Stephanocystis osmundacea,CYOS,2022-05-03,2022,Arroyo Quemado,30.4,0.35203703703703704,70054370.81066667,0.0013886351178512698,0.13502649369632744,1.2666666666666666,42185.83266666667,42903.608930982424,4.394326052662203
20220503-AQUE-007,Stephanocystis osmundacea,CYOS,2022-05-03,2022,Arroyo Quemado,37,0.3722,161023947.7232,0.0014338862191908231,0.1460626259494652,1.15625,51060.11349333334,63637.3859473682,4.639947960008095
20220719-NAPL-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2022-07-19,2022,Naples,39,0.5905,2031879489.5375001,5.570632766747608e-4,0.23368090272818168,0.5064935064935064,147835.560228125,141192.21367858944,19.254828962897257
20220719-NAPL-002,Rhodymenia californica,R,2022-07-19,2022,Naples,13.7,0.49,10549689.524,0.004309531299150676,0.2195659012268009,3.425,6637.112,6632.255833780667,1.643382142517784
20220726-BULL-001,Rhodymenia californica,R,2022-07-26,2022,Bullito,12.3,0.14800000000000002,7302848.7532,0.0046608563849943165,0.17923455854490336,3.3243243243243246,13858.55979,13725.703081034602,1.3618281287014118
20220726-BULL-002,Cryptopleura ruprechtiana,BF,2022-07-26,2022,Bullito,27.5,0.16333333333333333,121463866.72266668,0.0029865334491746306,0.15649435273675066,2.1153846153846154,48713.8171,63380.425253965965,6.90987918194186
20220726-BULL-003,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2022-07-26,2022,Bullito,28,0.375,573871257.039,8.17136520165762e-4,0.14909823148310278,0.717948717948718,72404.47684270334,69633.73669836456,18.588697464390822
20220726-BULL-006,Cryptopleura ruprechtiana,BF,2022-07-26,2022,Bullito,16,0.13,33496824.977,0.004394397143641857,0.11837407305685252,2.666666666666667,28088.490000000005,24648.863757194064,6.602006606421201
20220726-BULL-008,Stephanocystis osmundacea,CYOS,2022-07-26,2022,Bullito,43,0.482,1213924574.6208,3.3605827094111945e-4,0.15380527377026118,0.35833333333333334,194618.86331428573,257930.47647161264,4.6290719523787835
20220726-BULL-009,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2022-07-26,2022,Bullito,32,0.45999999999999996,552106999.797,0.0019442250440488487,0.14332583996597606,1.6842105263157894,33544.383,33544.383,30.971888881399817
20220726-BULL-010,Pterygophora californica,PTCA,2022-07-26,2022,Bullito,204,1.9661666666666666,43428226646.014,2.829568435331878e-4,0.17235123266542574,0.43312101910828027,712397.9165014286,1689404.811477717,27.36444915561905
20220726-BULL-013,Rhodymenia californica,R,2022-07-26,2022,Bullito,9,0.1,6748841.285,0.007569386038687973,0.19259882253994953,4.5,5676.0650000000005,5676.0650000000005,1.4124367664327648
20220726-BULL-015,Cryptopleura ruprechtiana,BF,2022-07-26,2022,Bullito,36,0.15586956521739131,494635516.8106,0.0015200776928598573,0.1343157539163113,1.8,101606.11438095238,147432.2256899618,6.185775029363298
20220726-BULL-018,Cryptopleura ruprechtiana,BF,2022-07-26,2022,Bullito,16,0.1808,981674610.0192001,4.052376972367855e-4,0.26684902363042323,0.36363636363636365,229869.18049333335,438523.42652947374,7.568830577887303
20220726-BULL-019,Cryptopleura ruprechtiana,BF,2022-07-26,2022,Bullito,37.5,0.17933333333333334,2001724351.7803333,0.001009176780860626,0.16658144729406066,0.9615384615384616,176537.14899166665,188855.32035199946,6.290363818771064
20220726-BULL-020,Stephanocystis osmundacea,CYOS,2022-07-26,2022,Bullito,41,0.6305,1012474297.2872,5.039579133684055e-4,0.1663429863808447,0.47126436781609193,108758.25943582418,180302.9173458903,4.649951232133922
20220726-BULL-021,Rhodymenia californica,R,2022-07-26,2022,Bullito,11,0.24,5610485.495999999,0.009760425909494233,0.15794143744454303,11,4978.248,4978.248,2.95425173267312
20220726-BULL-022,Rhodymenia californica,R,2022-07-26,2022,Bullito,14,0.247,41881115.85000001,0.0038095238095238095,0.211156462585034,3.5,11396.222000000002,11396.222000000002,3.3088278888457574
20220726-BULL-023,Rhodymenia californica,R,2022-07-26,2022,Bullito,16,0.259,29245001.22,0.005683836589698046,0.1463587921847247,5.333333333333333,10388.988,10388.988,4.1357419841791465
20220726-BULL-025,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2022-07-26,2022,Bullito,51,0.359,3664929253.032,0.0012453604219574135,0.16365501074428598,0.9807692307692307,89493.291,89493.291,43.18144756993266
20220726-BULL-026,Rhodymenia californica,R,2022-07-26,2022,Bullito,10,0.271,19695108.653999995,0.00449842555105713,0.10256410256410256,3.3333333333333335,8859.6979999999985,8859.6979999999985,3.3330968233676863
20220726-BULL-027,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2022-07-26,2022,Bullito,43,0.436,1216781955.425,0.0016859439325622428,0.17086845716526172,1.34375,47707.585,47707.585,25.036267953581635
20220726-BULL-031,Cryptopleura ruprechtiana,BF,2022-07-26,2022,Bullito,32,0.2012,523355081.4492,0.0012749511932746325,0.13673851547870433,1.0666666666666667,122429.2907,152161.31422084325,6.038232261339482
20220726-BULL-032,Stephanocystis osmundacea,CYOS,2022-07-26,2022,Bullito,37,0.8211666666666667,325626454.4544,8.949952831329673e-4,0.13995791103263105,0.7254901960784313,69653.45946428571,67090.8155175566,4.720772645032013
20220726-BULL-033,Pterygophora californica,PTCA,2022-07-26,2022,Bullito,113,1.5046666666666668,9594200111.6814,5.388367801402883e-4,0.1360014496139926,0.5136363636363637,444828.28607380955,497437.1240451269,22.519694997262473
20220726-BULL-034,Pterygophora californica,PTCA,2022-07-26,2022,Bullito,169,2.061,52528758367.228,2.1228995541910936e-4,0.1824048055411447,0.22930800542740842,1218565.890567374,2137121.5337787764,21.288276182455686
20220812-AQUE-001,Rhodymenia californica,R,2022-08-12,2022,Arroyo Quemado,10.5,0.254,6123474,0.008152173913043478,0.10714285714285714,10.5,4754.25,4754.25,2.3229707445184147
20220812-AQUE-002,Rhodymenia californica,R,2022-08-12,2022,Arroyo Quemado,17.5,0.3095,391833141.80799997,0.001156795346377578,0.10569804336329984,1.0294117647058822,52158.51741666667,50870.519315210746,2.1610741272119673
20220815-MOHK-001,Rhodymenia californica,R,2022-08-15,2022,Mohawk,10,0.19474576271186442,11936705.95,0.0019481784531463083,0.21468926553672316,1.6666666666666665,21390.699999999997,24661.654584991913,2.6116540962541333
