group,group_mobility,sp_code,scientific_name,common_name
algae,algae_sessile,CP,Colpomenia peregrina,-99999
fish,fish_mobile,CPUN,Chromis punctipinnis,Blacksmith
invert,invert_sessile,CRGI,Crassadoma gigantea,Rock Scallop
invert,invert_sessile,CROC,Crisia occidentalis,White Tuft Bryozoans
algae,algae_sessile,CRYP,Cryptopleura spp.,-99999
fish,fish_mobile,CSAT,Cheilotrema saturnum,Black Croaker
fish,fish_mobile,CSTI,Citharichthys stigmaeus,Speckled Sanddab
invert,invert_mobile,CUKE,Apostichopus californicus,California Sea Cucumber
invert,invert_sessile,CUPI,Cucumaria piperata,Salt and Pepper Cucumber
invert,invert_sessile,CUSP,Cucumaria salma; Cucumaria miniata,-99999
fish,fish_mobile,CVEN,Cephaloscyllium ventriosum,Swell Shark
invert,invert_sessile,CY,Corynactis californica,Club-Tipped Anemone
algae,algae_sessile,CYOS,Stephanocystis osmundacea,-99999
invert,invert_mobile,CYSP,Neobernaya spadicea,Chestnut Cowry
algae,algae_sessile,CZ,Chondracanthus spinosus,-99999
invert,invert_sessile,DC,Diaperoforma californica,Southern Staghorn Bryozoan
invert,invert_mobile,DIL,Dermasterias imbricata,Leather Star
invert,invert_sessile,DIOR,Diopatra ornata,Ornate Tube Worm
algae,algae_sessile,DL,Desmarestia ligulata,Acid Weed
invert,invert_sessile,DOFE,Dodecaceria fewkesi,Colonial Tube Worm
algae,algae_sessile,DP,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,-99999
algae,algae_sessile,DU,Dictyopteris undulata,-99999
fish,fish_mobile,DVAC,Rhacochilus vacca,Pile Surfperch
algae,algae_sessile,EA,Eisenia arborea,Southern Palm Kelp
algae,algae_sessile,EC,crustose coralline algae spp.,Encrusting Coralline
invert,invert_sessile,ECB,Unidentified Encrusting Bryozoa spp.,Encrusting Bryozoan
algae,algae_sessile,EGME,Egregia menziesii,Feather Boa Kelp
fish,fish_mobile,EJAC,Embiotoca jacksoni,Black Surfperch
fish,fish_mobile,ELAT,Embiotoca lateralis,Striped Surfperch
fish,fish_mobile,EMBI,Unidentified Surfperch spp.,Unidentified Surfperch Spp.
algae,algae_sessile,ER,Hildenbrandia spp.,Encrusting red algae
invert,invert_sessile,ES,Unidentified Demospongiae spp.,Encrusting sponge
