specimen_ID,scientific_name,sp_code,maximum_height,thickness_mm_mean,height_ww,total_dmc,height_vol
20220726-BULL-031,Cryptopleura ruprechtiana,BF,32,0.2012,0.0012749511932746325,0.13673851547870433,1.0666666666666667
20220726-BULL-032,Stephanocystis osmundacea,CYOS,37,0.8211666666666667,8.949952831329673e-4,0.13995791103263105,0.7254901960784313
20220726-BULL-033,Pterygophora californica,PTCA,113,1.5046666666666668,5.388367801402883e-4,0.1360014496139926,0.5136363636363637
20220726-BULL-034,Pterygophora californica,PTCA,169,2.061,2.1228995541910936e-4,0.1824048055411447,0.22930800542740842
20220812-AQUE-001,Rhodymenia californica,R,10.5,0.254,0.008152173913043478,0.10714285714285714,10.5
20220812-AQUE-002,Rhodymenia californica,R,17.5,0.3095,0.001156795346377578,0.10569804336329984,1.0294117647058822
20220815-MOHK-001,Rhodymenia californica,R,10,0.19474576271186442,0.0019481784531463083,0.21468926553672316,1.6666666666666665
20220815-MOHK-002,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,26.5,0.396,0.002474092054896835,0.1988609840351041,2.409090909090909
20220815-MOHK-003,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,25.3,0.389,0.00568156299124186,0.20233550415450258,4.865384615384615
20220815-MOHK-004,Rhodymenia californica,R,5.5,0.47725,0.001705955334987593,0.2044044665012407,1.5714285714285714
20220815-MOHK-005,Bossiella orbigniana,BO,9.5,0.3903333333333333,8.931089592930338e-4,0.3879853342107737,0.8715596330275229
20220815-MOHK-006,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,17,0.389,0.0027454780361757104,0.20897932816537468,2.5757575757575757
20220815-MOHK-007,Rhodymenia californica,R,8.5,0.20233333333333334,0.001990166237415125,0.2573167876375556,2.1250000000000004
20220815-MOHK-008,Corallina officinalis,CO,9,0.477,0.0034078000757288905,0.5467625899280576,4.2857142857142865
20220815-MOHK-009,Stephanocystis osmundacea,CYOS,26,0.49933333333333335,0.0010352379056340832,0.1640453912004778,1
20220815-MOHK-010,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,23,0.694,8.293667964806e-4,0.2231717871051493,0.8214285714285714
20220815-MOHK-011,Corallina officinalis,CO,29.8,0.47933333333333333,0.0034323888504952777,0.5181985717576595,3.7721518987341773
20220815-MOHK-012,Stephanocystis osmundacea,CYOS,44,0.6023333333333334,0.0022493737538980623,0.47978119728030266,0.8148148148148148
20220815-MOHK-013,Pterygophora californica,PTCA,201,1.2368000000000001,4.533234699769053e-4,0.16625694644919167,0.45372460496614
20220815-MOHK-015,Stephanocystis osmundacea,CYOS,30,0.45666666666666667,5.15800694611602e-4,0.1409855231938379,0.4166666666666667
20220815-MOHK-016,Pterygophora californica,PTCA,139,0.327,8.448666751761152e-4,0.14145742540556638,0.7853107344632768
20220815-MOHK-017,Pterygophora californica,PTCA,127,1.4746000000000001,3.021528988834618e-4,0.15425262361503342,0.2778993435448578
20220815-MOHK-018,Laminaria farlowii,LAFA,312,1.4615,5.399409180033953e-4,0.1209000399763949,0.5483304042179262
20220815-MOHK-019,Rhodymenia californica,R,5,0.16964285714285715,0.005050505050505051,0.22828282828282828,3.571428571428575
20220818-AQUE-001,Corallina officinalis,CO,7.8,0.34900000000000003,0.002235597592433362,0.5537403267411866,2.2285714285714278
20220818-AQUE-002,Corallina officinalis,CO,6.1,0.396,0.0024756493506493506,0.6168831168831169,2.6521739130434785
20220824-CARP-001,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,DP,16,0.17400000000000002,0.0032193158953722333,0.15553319919517103,2.6666666666666665
20220824-CARP-002,Bossiella orbigniana,BO,11,0.42233333333333334,8.565643980688367e-4,0.6843170845662669,1.1702127659574468
20220824-CARP-004,Stephanocystis osmundacea,CYOS,37,0.3626666666666667,4.66971249716031e-4,0.17914026806673902,0.3978494623655914
20220824-CARP-005,Dictyota binghamiae; Dictyota flabellata; Dictyota coriacea,DP,6.5,0.11074074074074074,0.006161137440758294,0.15355450236966825,3.25
