specimen_ID,subsample_ID,date_collected,site,sp_code,needs_check,number_subsamples,notes,type,lifestage,reorg_notes,year
20230627-MOHK-009,20230627-MOHK-009-D,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-009,20230627-MOHK-009-E,2023-06-27,Mohawk,GS,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-010,20230627-MOHK-010-A,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-010,20230627-MOHK-010-B,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-010,20230627-MOHK-010-C,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-010,20230627-MOHK-010-D,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-010,20230627-MOHK-010-E,2023-06-27,Mohawk,GR,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-011,20230627-MOHK-011-A,2023-06-27,Mohawk,CO,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-011,20230627-MOHK-011-B,2023-06-27,Mohawk,CO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-011,20230627-MOHK-011-C,2023-06-27,Mohawk,CO,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-011,20230627-MOHK-011-D,2023-06-27,Mohawk,CO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-011,20230627-MOHK-011-E,2023-06-27,Mohawk,CO,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-A,2023-06-27,Mohawk,EGME,NA,10,chlA,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-B,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-C,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-D,2023-06-27,Mohawk,EGME,NA,10,chlA,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-E,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-F,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-G,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-H,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-I,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-012,20230627-MOHK-012-J,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-013,20230627-MOHK-013-A,2023-06-27,Mohawk,DP,NA,2,chlA,thallus,NA,NA,2023
20230627-MOHK-013,20230627-MOHK-013-B,2023-06-27,Mohawk,DP,NA,2,chlA,thallus,NA,NA,2023
20230627-MOHK-014,20230627-MOHK-014-A,2023-06-27,Mohawk,BO,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-014,20230627-MOHK-014-B,2023-06-27,Mohawk,BO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-014,20230627-MOHK-014-C,2023-06-27,Mohawk,BO,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-014,20230627-MOHK-014-D,2023-06-27,Mohawk,BO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-014,20230627-MOHK-014-E,2023-06-27,Mohawk,BO,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-015,20230627-MOHK-015-A,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-015,20230627-MOHK-015-B,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-015,20230627-MOHK-015-C,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-015,20230627-MOHK-015-D,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-015,20230627-MOHK-015-E,2023-06-27,Mohawk,GR,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-016,20230627-MOHK-016-A,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-016,20230627-MOHK-016-B,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-016,20230627-MOHK-016-C,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-016,20230627-MOHK-016-D,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-016,20230627-MOHK-016-E,2023-06-27,Mohawk,GS,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-017,20230627-MOHK-017-A,2023-06-27,Mohawk,BO,yes,5,NA,thallus,NA,NA,2023
20230627-MOHK-017,20230627-MOHK-017-B,2023-06-27,Mohawk,BO,yes,5,chlA,thallus,NA,NA,2023
20230627-MOHK-017,20230627-MOHK-017-C,2023-06-27,Mohawk,BO,yes,5,NA,thallus,NA,NA,2023
20230627-MOHK-017,20230627-MOHK-017-D,2023-06-27,Mohawk,BO,yes,5,chlA,thallus,NA,NA,2023
20230627-MOHK-017,20230627-MOHK-017-E,2023-06-27,Mohawk,BO,yes,5,NA,remainder,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-A,2023-06-27,Mohawk,EGME,NA,10,chlA,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-B,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-C,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-D,2023-06-27,Mohawk,EGME,NA,10,chlA,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-E,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-F,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-G,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-H,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-I,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-018,20230627-MOHK-018-J,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-019,20230627-MOHK-019-A,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-019,20230627-MOHK-019-B,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-019,20230627-MOHK-019-C,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-019,20230627-MOHK-019-D,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-019,20230627-MOHK-019-E,2023-06-27,Mohawk,GR,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-020,20230627-MOHK-020-A,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-020,20230627-MOHK-020-B,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-020,20230627-MOHK-020-C,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-020,20230627-MOHK-020-D,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-020,20230627-MOHK-020-E,2023-06-27,Mohawk,GS,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-021,20230627-MOHK-021-A,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-021,20230627-MOHK-021-B,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-021,20230627-MOHK-021-C,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-021,20230627-MOHK-021-D,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-021,20230627-MOHK-021-E,2023-06-27,Mohawk,GR,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-022,20230627-MOHK-022-A,2023-06-27,Mohawk,CO,NA,5,NA,thallus,NA,NA,2023
