specimen_ID,subsample_ID,weight_wet_mg,weight_wet_g,drying_oven_in,drying_oven_out,weight_dry_mg,weight_dry_g,notes
20220815-MOHK-016,20220815-MOHK-016-E,65000,65,20220830,20220906,7753,7.753,
20220815-MOHK-016,20220815-MOHK-016-F,14399,14.399,20220830,20220906,3845,3.845,
20220815-MOHK-016,20220815-MOHK-016-G,9068,9.068,20220830,20220906,1908,1.908,
20220815-MOHK-017,20220815-MOHK-017-A,93000,93,20220830,20220906,16397,16.397,original wet weight in grams
20220815-MOHK-017,20220815-MOHK-017-B,48083,48.083,20220830,20220906,6808,6.808,
20220815-MOHK-017,20220815-MOHK-017-C,15737,15.737,20220830,20220906,1975,1.975,
20220815-MOHK-017,20220815-MOHK-017-D,35579,35.579,20220830,20220906,4573,4.573,
20220815-MOHK-017,20220815-MOHK-017-E,204000,204,20220830,20220906,28260,28.26,original wet weight in grams
20220815-MOHK-017,20220815-MOHK-017-F,9826,9.826,20220830,20220906,3403,3.403,
20220815-MOHK-017,20220815-MOHK-017-G,14092,14.092,20220830,20220906,3419,3.419,
20220815-MOHK-018,20220815-MOHK-018-A,571000,571,20220830,20220906,68000,68,original wet and dry weights in grams
20220815-MOHK-018,20220815-MOHK-018-B,763,0.763,20220830,20220906,246,0.246,
20220815-MOHK-018,20220815-MOHK-018-C,6078,6.078,20220830,20220906,1615,1.615,
20220815-MOHK-019,20220815-MOHK-019-A,101,0.101,20220830,20220906,17,0.017,
20220815-MOHK-019,20220815-MOHK-019-B,98,0.098,20220830,20220906,17,0.017,
20220815-MOHK-019,20220815-MOHK-019-C,111,0.111,20220830,20220906,23,0.023,
20220815-MOHK-019,20220815-MOHK-019-D,680,0.68,20220830,20220906,169,0.169,
20220818-AQUE-001,20220818-AQUE-001-A,440,0.44,20220912,20220927,262,0.262,
20220818-AQUE-001,20220818-AQUE-001-B,646,0.646,20220912,20220927,371,0.371,
20220818-AQUE-001,20220818-AQUE-001-C,482,0.482,20220912,20220927,273,0.273,
20220818-AQUE-001,20220818-AQUE-001-D,1921,1.921,20220912,20220927,1026,1.026,
20220818-AQUE-002,20220818-AQUE-002-A,304,0.304,20220912,20220927,191,0.191,
20220818-AQUE-002,20220818-AQUE-002-B,183,0.183,20220912,20220927,122,0.122,
20220818-AQUE-002,20220818-AQUE-002-C,926,0.926,20220912,20220927,544,0.544,
20220818-AQUE-002,20220818-AQUE-002-D,1051,1.051,20220912,20220927,663,0.663,
20220824-CARP-001,20220824-CARP-001-A,2857,2.857,20220901,20220906,430,0.43,
20220824-CARP-001,20220824-CARP-001-B,2113,2.113,20220901,20220906,343,0.343,
20220824-CARP-002,20220824-CARP-002-A,598,0.598,20220914,20220927,439,0.439,
20220824-CARP-002,20220824-CARP-002-B,1287,1.287,20220914,20220927,975,0.975,
20220824-CARP-002,20220824-CARP-002-C,224,0.224,20220914,20220927,162,0.162,
20220824-CARP-002,20220824-CARP-002-D,10733,10.733,20220914,20220927,7212,7.212,
20220824-CARP-003,20220824-CARP-003-A,608,0.608,20220901,20220906,95,0.095,
20220824-CARP-003,20220824-CARP-003-B,2452,2.452,20220901,20220906,381,0.381,
20220824-CARP-003,20220824-CARP-003-C,1181,1.181,20220901,20220906,176,0.176,
20220824-CARP-003,20220824-CARP-003-D,11000,11,20220901,20220906,3756,3.756,original wet weight in grams
