specimen_ID,date_collected,year,site,sp_code,lifestage
20220726-BULL-008,2022-07-26,2022,Bullito,CYOS,NA
20220726-BULL-009,2022-07-26,2022,Bullito,CC,NA
20220726-BULL-010,2022-07-26,2022,Bullito,PTCA,adult
20220726-BULL-011,2022-07-26,2022,Bullito,Nandersoniana,NA
20220726-BULL-012,2022-07-26,2022,Bullito,GR,NA
20220726-BULL-013,2022-07-26,2022,Bullito,R,NA
20220726-BULL-014,2022-07-26,2022,Bullito,GR,NA
20220726-BULL-015,2022-07-26,2022,Bullito,BF,NA
20220726-BULL-016,2022-07-26,2022,Bullito,EGME,NA
20220726-BULL-017,2022-07-26,2022,Bullito,Nandersoniana,NA
20220726-BULL-018,2022-07-26,2022,Bullito,BF,NA
20220726-BULL-019,2022-07-26,2022,Bullito,BF,NA
20220726-BULL-020,2022-07-26,2022,Bullito,CYOS,NA
20220726-BULL-021,2022-07-26,2022,Bullito,R,NA
20220726-BULL-022,2022-07-26,2022,Bullito,R,NA
20220726-BULL-023,2022-07-26,2022,Bullito,R,NA
20220726-BULL-024,2022-07-26,2022,Bullito,EGME,NA
20220726-BULL-025,2022-07-26,2022,Bullito,CC,NA
20220726-BULL-026,2022-07-26,2022,Bullito,R,NA
20220726-BULL-027,2022-07-26,2022,Bullito,CC,NA
20220726-BULL-028,2022-07-26,2022,Bullito,Nandersoniana,NA
20220726-BULL-029,2022-07-26,2022,Bullito,Nandersoniana,NA
20220726-BULL-030,2022-07-26,2022,Bullito,Nandersoniana,NA
20220726-BULL-031,2022-07-26,2022,Bullito,BF,NA
20220726-BULL-032,2022-07-26,2022,Bullito,CYOS,NA
20220726-BULL-033,2022-07-26,2022,Bullito,PTCA,adult
20220726-BULL-034,2022-07-26,2022,Bullito,PTCA,adult
20220726-BULL-035,2022-07-26,2022,Bullito,DL,NA
20220726-BULL-036,2022-07-26,2022,Bullito,DL,NA
20220811-AQUE-001,2022-08-11,2022,Arroyo Quemado,BR,NA
20220811-AQUE-002,2022-08-11,2022,Arroyo Quemado,BR,NA
20220811-AQUE-003,2022-08-11,2022,Arroyo Quemado,BR,NA
20220811-AQUE-004,2022-08-11,2022,Arroyo Quemado,BR,NA
20220811-AQUE-005,2022-08-11,2022,Arroyo Quemado,DL,NA
20220812-AQUE-001,2022-08-12,2022,Arroyo Quemado,R,NA
20220812-AQUE-002,2022-08-12,2022,Arroyo Quemado,R,NA
20220812-AQUE-003,2022-08-12,2022,Arroyo Quemado,POLA,NA
20220812-AQUE-004,2022-08-12,2022,Arroyo Quemado,DL,NA
20220812-AQUE-005,2022-08-12,2022,Arroyo Quemado,DL,NA
20220815-MOHK-001,2022-08-15,2022,Mohawk,R,NA
